accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3HUJ4,H7C1T5,control,Control (Standard),1273.62718477,119.39,,3,Medium,671
G3HHH9,AP3M2,control,Control (Standard),1806.4595711000002,5.66,,3,Medium,625
G3GX64,BAHCC1,control,Control (Standard),7267.002913666666,12.94,,3,Low,219
G3HJF6,NR1H4,control,Control (Standard),3414.83277153,35.69,,3,Medium,444
G3IDM2,CFL1,control,Control (Standard),11.065574712999998,14.31,,3,Medium,1003
G3HY68,STAG2,control,Control (Standard),20182.597586333333,6.01,,3,Medium,158
G3H098,CCDC96,control,Control (Standard),3628.4326765000005,15.27,,3,Medium,166
G3HLI0,CSMD3,control,Control (Standard),17136.592168333333,1.91,,3,Medium,175
G3HT77,CYFIP1,control,Control (Standard),2462.0472983333334,2.28,,3,Trace,314
G3GVK2,SPECC1,control,Control (Standard),1428.963585166667,12.6,,3,Trace,470
G3GZG7,TOPBP1,control,Control (Standard),6052.921559933333,49.68,,3,Medium,420
G3I2I2,PRKDC,control,Control (Standard),1502.2734758,1.49,,3,Medium,552
G3GR97,DNAH14,control,Control (Standard),1084.4281934333333,8.73,,3,Medium,388
G3H9S1,RNF2,control,Control (Standard),5605.149679000001,5.22,,3,Low,273
G3HCM1,G5C0P0,control,Control (Standard),40.46020062833333,70.37,,3,Trace,1035
G3HGY8,EEF1A2,control,Control (Standard),1.4219705523333335,18.83,,3,Medium,973
G3HSL4,EEF2,control,Control (Standard),6240.034301,5.91,,3,Low,251
G3IEV4,ECEL1,control,Control (Standard),1409.4456173666667,2.97,,3,Trace,509
G3H0V9,EPB42,control,Control (Standard),95.88988663333333,10.11,,3,Medium,745
G3HTV8,FBF1,control,Control (Standard),55.084880285,89.61,,3,Trace,977
G3HTZ7,FCRLB,control,Control (Standard),821.1714393033332,82.87,,3,Medium,711
Q60426,FUR,control,Control (Standard),2326.6415794333334,5.41,,3,Trace,367
G3HL68,GPR35,control,Control (Standard),106483.48387333333,1.87,,3,Medium,37
G3H3E4,LGALS3BP,control,Control (Standard),10.744680542333334,35.03,,3,Medium,1045
G3IKV5,GTF3C3,control,Control (Standard),2290.8119001,4.44,,3,Trace,402
G3I3Y6,GSTP1,control,Control (Standard),4.52777606,26.33,,3,Medium,1041
G3HZE6,HSPA1A,control,Control (Standard),22.517798169000002,15.3,,3,Medium,1013
G3I5Q4,HNRNPM,control,Control (Standard),1657.2564196,3.82,,3,Trace,382
G3H6W6,HIVEP2,control,Control (Standard),13720.742853333335,7.02,,3,Medium,168
G3HU05,ITLN1,control,Control (Standard),77.70684144666667,15.63,,3,Trace,954
G3HFD2,MX2,control,Control (Standard),38.355510385,35.04,,3,Medium,1096
G3I453,FN3KRP,control,Control (Standard),3070.4171753333335,10.19,,3,Medium,433
G3GV24,KIF2A,control,Control (Standard),97.19674378666667,3.73,,3,Trace,970
G3H339,LRRN1,control,Control (Standard),169.6420617266667,10.28,,3,Medium,616
G3HHE3,LARS,control,Control (Standard),15.816595593666667,54.15,,3,Medium,971
G3HE80,BPIB4,control,Control (Standard),13.970448655333334,74.65,,3,Medium,694
G3GZY4,LOXL4,control,Control (Standard),45.86337796666667,31.98,,3,Medium,799
G3HRK9,MMP19,control,Control (Standard),734.0679455666667,34.25,,3,Trace,518
G3H4X4,MAP2,control,Control (Standard),113.14878112333334,17.13,,3,Medium,716
G3I5Y3,NSMF,control,Control (Standard),364.67993800000005,8.05,,3,Medium,805
G3GTY0,NFRKB,control,Control (Standard),34.503596998666666,82.67,,3,Medium,915
G3HIK1,NUP93,control,Control (Standard),869.2632511333333,9.84,,3,Trace,569
G3INK9,LOC100751431,control,Control (Standard),235.04304827,2.22,,3,Trace,764
G3HB73,KCNH2,control,Control (Standard),18598.636572666666,21.11,,3,Low,106
G3IGH3,FAM75A4,control,Control (Standard),7582.374070666668,5.19,,3,Medium,263
G3HKJ1,IWS1,control,Control (Standard),1838.8019978666664,14.94,,3,Trace,389
G3I0D0,LOC100771222,control,Control (Standard),334.0628449,6.71,,3,Medium,844
G3HNF6,NUMB,control,Control (Standard),27.877653104666667,86.58,,3,Medium,742
G3GTI1,SDK2,control,Control (Standard),31.901202120333334,131.14,,3,Medium,718
G3HAF8,VAC14,control,Control (Standard),4228.1967984933335,107.75,,3,Medium,408
G3I0Y7,HFM1,control,Control (Standard),2474.7614265333336,11.75,,3,Medium,619
G3HW84,TATDN2,control,Control (Standard),746.9580678000001,19.13,,3,Trace,598
G3IKR5,PWWP2B,control,Control (Standard),311.07891079999996,3.85,,3,Medium,530
G3H3Q1,PKM,control,Control (Standard),1.053525303,69.14,,3,Medium,1110
G3H1G4,RAB11FIP1,control,Control (Standard),582.6979384533332,61.63,,3,Medium,466
G3HG15,RGL1,control,Control (Standard),30.436105316,42.85,,3,Medium,823
G3HYG1,RFC4,control,Control (Standard),1138.7538076666667,8.99,,3,Medium,370
G3GXX1,RBL1,control,Control (Standard),1238.7889326333334,4.96,,3,Medium,610
G3HHP8,RAI1,control,Control (Standard),8359.797780666666,27.64,,3,Low,186
G3HP03,EWSR1,control,Control (Standard),277.23716779666665,6.03,,3,Trace,662
G3IFB0,SRRM2,control,Control (Standard),2077.4366434333333,32.29,,3,Trace,462
G3HLS6,STK4,control,Control (Standard),5087.873816,20.85,,3,Low,210
G3HYA6,KIAA1217,control,Control (Standard),1210.2600392333334,3.58,,3,Medium,632
G3I9F9,STAT1,control,Control (Standard),1028.1300333000002,15.53,,3,Trace,580
G3H501,SPTB,control,Control (Standard),171.94510542599997,78.02,,3,Medium,992
G3H0W9,STAR9,control,Control (Standard),315.1121965666667,21.32,,3,Medium,394
G3HYB7,CCT7,control,Control (Standard),4630.78816,3.04,,3,Low,216
G3IF79,TRIP11,control,Control (Standard),1438.0137414,3.67,,3,Medium,595
G3HCN7,HIVEP3,control,Control (Standard),2017.3391114666665,7.78,,3,Medium,600
G3HNY0,ATRX,control,Control (Standard),1296.1369949666666,7.02,,3,Trace,521
G3IIR3,TACC2,control,Control (Standard),279.82071749833335,21.49,,3,Medium,902
G3IFS0,TMC1,control,Control (Standard),451.90943663333337,26.52,,3,Medium,548
G3GXQ4,HADHB,control,Control (Standard),2487.6521426,5.26,,3,Trace,349
G3IG01,TRIM29,control,Control (Standard),2617.2227956666666,6.02,,3,Trace,355
G3H1W4,TINAGL1,control,Control (Standard),7.215816883,45.41,,3,Trace,1046
G3HC93,KIAA0947,control,Control (Standard),13127.314606666667,19.5,,3,Low,157
G3HN39,KIAA1462,control,Control (Standard),548.8385640666667,3.37,,3,Medium,769
G3HVI7,KIAA1671,control,Control (Standard),4730.636074999999,5.15,,3,Medium,342
G3HBG7,C14ORF102,control,Control (Standard),293.7419390333333,6.61,,3,Trace,603
G3H4V0,HDLBP,control,Control (Standard),710.6942425666666,7.78,,3,Medium,398
G3I6X2,LRWD1,control,Control (Standard),597.4247965999999,12.59,,3,Medium,806
G3HJ37,ZNF292,control,Control (Standard),486.5222095666666,18.38,,3,Trace,531
G3HQ51,PDK3,control,Control (Standard),1733.9260118333332,114.87,,3,Medium,613
G3HWX9,UNKNOWN,control,Control (Standard),701.4708303333333,52.71,,3,Medium,403
G3GVV0,UNKNOWN,control,Control (Standard),9150.645212333333,3.99,,3,Medium,242
G3HE31,PSMC2,control,Control (Standard),0.24158454699999998,116.88,,3,Medium,1164
G3GTS6,PSMD11,control,Control (Standard),3309.027511333333,5.18,,3,Medium,395
G3I179,PSMD14,control,Control (Standard),1026.8910166666667,42.5,,3,Medium,659
